epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,335.675,0.85947,0.59551,0.87986,0.53652,0.69058,0.63005,0.30232,1.54854,2.00623,1.05467,0.00096726,0.00096726,0.00096726
108,338.738,0.88938,0.61371,0.88114,0.60579,0.69939,0.66987,0.31841,1.57254,1.63548,1.04787,0.000960659,0.000960659,0.000960659
109,341.607,0.85169,0.55662,0.87922,0.6174,0.70079,0.68086,0.3226,1.5734,1.55418,1.04003,0.000954057,0.000954057,0.000954057
110,344.638,0.81925,0.56091,0.86635,0.65281,0.68512,0.66848,0.31714,1.58936,1.68485,1.05731,0.000947456,0.000947456,0.000947456
111,347.678,0.90289,0.60163,0.89415,0.65681,0.7,0.67938,0.32885,1.57758,1.78081,1.06779,0.000940855,0.000940855,0.000940855
112,350.762,0.85877,0.55003,0.89744,0.59599,0.6874,0.64619,0.31205,1.59504,1.80153,1.07417,0.000934253,0.000934253,0.000934253
113,354.159,0.87933,0.5755,0.88009,0.58219,0.68316,0.62655,0.29371,1.6054,1.78816,1.08018,0.000927652,0.000927652,0.000927652
114,357.937,0.8332,0.53455,0.87683,0.64255,0.68254,0.63859,0.3038,1.57148,1.78547,1.06181,0.000921051,0.000921051,0.000921051
115,361.016,0.88283,0.54124,0.90023,0.59376,0.71587,0.62758,0.29301,1.6086,1.88527,1.081,0.00091445,0.00091445,0.00091445
116,364.006,0.83067,0.56202,0.88371,0.58131,0.7036,0.61791,0.28489,1.60418,1.82681,1.07318,0.000907848,0.000907848,0.000907848
117,367.258,0.86256,0.5686,0.88744,0.60862,0.71032,0.63412,0.28815,1.58581,1.74103,1.06153,0.000901247,0.000901247,0.000901247
118,370.296,0.84868,0.54737,0.86387,0.59245,0.74444,0.66645,0.29948,1.55626,1.66086,1.04519,0.000894646,0.000894646,0.000894646
119,373.354,0.85117,0.55919,0.88168,0.64398,0.71978,0.68644,0.32499,1.52167,1.60245,1.02907,0.000888044,0.000888044,0.000888044
120,376.239,0.84259,0.55636,0.89545,0.71827,0.68472,0.69253,0.3245,1.56727,1.61629,1.03601,0.000881443,0.000881443,0.000881443
121,379.196,0.85965,0.58938,0.86662,0.67529,0.71492,0.67586,0.3176,1.59263,1.66551,1.0413,0.000874842,0.000874842,0.000874842
122,382.116,0.80874,0.5492,0.86143,0.66513,0.65625,0.61632,0.28646,1.60905,1.90219,1.0426,0.00086824,0.00086824,0.00086824
123,385.05,0.78992,0.54239,0.85429,0.60341,0.67498,0.62308,0.2881,1.56182,2.08802,1.04181,0.000861639,0.000861639,0.000861639
124,388.115,0.85111,0.56303,0.86995,0.62852,0.66493,0.6171,0.27915,1.55539,1.96289,1.04183,0.000855038,0.000855038,0.000855038
125,390.858,0.86919,0.55819,0.87596,0.62494,0.66587,0.61605,0.27732,1.57698,1.90269,1.04333,0.000848436,0.000848436,0.000848436
126,393.859,0.78718,0.49526,0.86572,0.67941,0.68927,0.66201,0.29598,1.59085,1.8484,1.0495,0.000841835,0.000841835,0.000841835
127,396.751,0.81703,0.54005,0.861,0.63872,0.71032,0.66834,0.31146,1.5324,1.77693,1.02732,0.000835234,0.000835234,0.000835234
128,399.723,0.81038,0.51592,0.85152,0.68066,0.64921,0.63239,0.29873,1.54093,1.77251,1.03455,0.000828632,0.000828632,0.000828632
129,402.639,0.88005,0.56136,0.86507,0.62351,0.67467,0.61987,0.28512,1.56673,1.83017,1.04114,0.000822031,0.000822031,0.000822031
130,405.521,0.80657,0.53378,0.8911,0.7162,0.65795,0.65312,0.30096,1.61973,1.86154,1.05019,0.00081543,0.00081543,0.00081543
131,408.436,0.75362,0.52545,0.84397,0.61809,0.68254,0.63215,0.29129,1.66744,1.87771,1.0658,0.000808828,0.000808828,0.000808828
132,411.595,0.76561,0.5056,0.83771,0.62379,0.72113,0.63906,0.28752,1.64907,1.87309,1.06981,0.000802227,0.000802227,0.000802227
133,414.437,0.76741,0.49596,0.86768,0.59241,0.71587,0.64056,0.2884,1.62879,1.88792,1.06112,0.000795626,0.000795626,0.000795626
134,417.506,0.77018,0.50895,0.84969,0.61382,0.70455,0.66007,0.29636,1.56964,1.8722,1.04055,0.000789024,0.000789024,0.000789024
135,420.523,0.77121,0.50026,0.8461,0.61903,0.69365,0.63858,0.28856,1.58624,1.85843,1.05319,0.000782423,0.000782423,0.000782423
136,423.473,0.75376,0.51527,0.86076,0.60966,0.67813,0.60673,0.2568,1.65012,2.00867,1.0832,0.000775822,0.000775822,0.000775822
137,426.455,0.80136,0.52142,0.86008,0.60746,0.7033,0.63198,0.26648,1.65147,2.01644,1.07347,0.00076922,0.00076922,0.00076922
138,429.454,0.80287,0.52489,0.83698,0.62073,0.7122,0.61118,0.276,1.61317,1.94836,1.05503,0.000762619,0.000762619,0.000762619
139,432.445,0.82652,0.57228,0.8846,0.6661,0.66984,0.63472,0.30313,1.61323,1.74029,1.06706,0.000756018,0.000756018,0.000756018
140,435.432,0.77147,0.50669,0.85574,0.69008,0.696,0.71291,0.32586,1.61415,1.67298,1.07216,0.000749417,0.000749417,0.000749417
141,438.441,0.77299,0.49444,0.83885,0.66248,0.69762,0.72008,0.32235,1.62006,1.70783,1.06762,0.000742815,0.000742815,0.000742815
142,441.526,0.7579,0.50091,0.83448,0.62217,0.6746,0.68178,0.30061,1.62832,1.77433,1.05981,0.000736214,0.000736214,0.000736214
143,444.683,0.742,0.5093,0.86123,0.66131,0.67816,0.67383,0.30374,1.65776,1.83254,1.07393,0.000729613,0.000729613,0.000729613
144,447.87,0.7345,0.49613,0.85965,0.77873,0.6127,0.71005,0.31375,1.6427,1.86321,1.06242,0.000723011,0.000723011,0.000723011
145,450.871,0.73411,0.47941,0.85954,0.77023,0.6127,0.70311,0.31707,1.64144,1.86019,1.06281,0.00071641,0.00071641,0.00071641
146,453.855,0.79468,0.50924,0.87669,0.71165,0.66349,0.69288,0.31777,1.61462,1.87757,1.05999,0.000709809,0.000709809,0.000709809
147,456.751,0.7757,0.50613,0.8442,0.67739,0.70052,0.71299,0.31588,1.62533,1.79647,1.06244,0.000703207,0.000703207,0.000703207
148,459.662,0.75397,0.48601,0.86016,0.70857,0.68333,0.71524,0.31144,1.59848,1.70482,1.06539,0.000696606,0.000696606,0.000696606
149,462.615,0.73174,0.4865,0.84746,0.62132,0.74524,0.71343,0.31672,1.60445,1.71129,1.06811,0.000690005,0.000690005,0.000690005
150,465.612,0.7301,0.45792,0.83746,0.61199,0.7381,0.68815,0.30818,1.63313,1.82961,1.07657,0.000683403,0.000683403,0.000683403
151,468.485,0.73894,0.47259,0.85004,0.60856,0.70952,0.66905,0.30438,1.65025,1.96587,1.08174,0.000676802,0.000676802,0.000676802
152,471.475,0.72697,0.468,0.83445,0.58408,0.69286,0.62162,0.29639,1.65296,2.01514,1.08863,0.000670201,0.000670201,0.000670201
153,474.506,0.74671,0.48811,0.84256,0.59322,0.70487,0.63995,0.29194,1.6533,2.01451,1.08706,0.000663599,0.000663599,0.000663599
154,477.398,0.72657,0.47759,0.83542,0.57052,0.72778,0.64621,0.29079,1.61845,2.09362,1.07801,0.000656998,0.000656998,0.000656998
155,480.404,0.76978,0.47729,0.87447,0.67472,0.6373,0.6166,0.28403,1.62442,2.13281,1.07282,0.000650397,0.000650397,0.000650397
156,483.353,0.7593,0.48645,0.88023,0.62987,0.71915,0.64931,0.28211,1.70165,2.00537,1.08589,0.000643795,0.000643795,0.000643795
157,486.28,0.74679,0.48939,0.8589,0.61911,0.72063,0.65968,0.29156,1.70998,1.87919,1.0875,0.000637194,0.000637194,0.000637194
158,489.28,0.78241,0.50491,0.86609,0.70748,0.69036,0.69628,0.3184,1.69515,1.75441,1.09124,0.000630593,0.000630593,0.000630593
159,492.328,0.73396,0.48148,0.86221,0.67645,0.71455,0.69393,0.33672,1.67811,1.69377,1.08546,0.000623991,0.000623991,0.000623991
160,495.262,0.81425,0.51302,0.8759,0.70355,0.70317,0.70183,0.3314,1.67825,1.67074,1.09055,0.00061739,0.00061739,0.00061739
161,498.17,0.74263,0.48678,0.85598,0.69945,0.71378,0.7031,0.33238,1.68947,1.68935,1.09212,0.000610789,0.000610789,0.000610789
162,501.1,0.74865,0.47357,0.83796,0.71713,0.67701,0.71507,0.33695,1.69563,1.7278,1.0845,0.000604187,0.000604187,0.000604187
163,504.146,0.73688,0.47156,0.85845,0.70103,0.70317,0.70933,0.33275,1.68729,1.71026,1.08124,0.000597586,0.000597586,0.000597586
164,507.117,0.72435,0.4683,0.84202,0.69461,0.72076,0.70527,0.33474,1.648,1.69733,1.07398,0.000590985,0.000590985,0.000590985
165,509.988,0.70666,0.47895,0.82144,0.6827,0.73866,0.69948,0.33902,1.60678,1.6381,1.06443,0.000584384,0.000584384,0.000584384
166,512.873,0.74835,0.47021,0.83103,0.68035,0.76485,0.7361,0.33412,1.6069,1.63028,1.05911,0.000577782,0.000577782,0.000577782
167,515.843,0.69526,0.46696,0.86024,0.68378,0.7557,0.70761,0.32507,1.66178,1.64408,1.08173,0.000571181,0.000571181,0.000571181
168,518.9,0.74425,0.4763,0.87361,0.70704,0.72143,0.68952,0.32421,1.62942,1.66213,1.07909,0.00056458,0.00056458,0.00056458
169,521.84,0.73953,0.46795,0.85288,0.69648,0.69708,0.66928,0.31808,1.62193,1.69615,1.07831,0.000557978,0.000557978,0.000557978
170,524.815,0.68861,0.44152,0.83738,0.67925,0.72064,0.67411,0.31926,1.60266,1.73605,1.07702,0.000551377,0.000551377,0.000551377
171,527.711,0.67888,0.44394,0.82476,0.71871,0.66587,0.66745,0.30948,1.6515,1.78022,1.08781,0.000544776,0.000544776,0.000544776
172,530.767,0.71329,0.45484,0.85254,0.64927,0.72698,0.66592,0.31829,1.61432,1.72952,1.07233,0.000538174,0.000538174,0.000538174
173,533.569,0.66919,0.46339,0.83963,0.65779,0.74451,0.67788,0.3198,1.60359,1.7109,1.07029,0.000531573,0.000531573,0.000531573
174,536.5,0.75087,0.4685,0.83912,0.65841,0.75476,0.70661,0.31868,1.59002,1.72596,1.0545,0.000524972,0.000524972,0.000524972
175,539.508,0.71078,0.44952,0.8402,0.64297,0.74797,0.67536,0.31693,1.58217,1.73384,1.05186,0.00051837,0.00051837,0.00051837
176,542.686,0.7006,0.44561,0.85842,0.66271,0.73051,0.67778,0.30844,1.61009,1.71247,1.05899,0.000511769,0.000511769,0.000511769
177,545.452,0.73673,0.45161,0.8533,0.69637,0.73254,0.71173,0.31284,1.62339,1.70266,1.06394,0.000505168,0.000505168,0.000505168
178,548.481,0.66699,0.42498,0.84534,0.70854,0.7487,0.72795,0.33579,1.62529,1.72216,1.06626,0.000498566,0.000498566,0.000498566
179,551.561,0.64234,0.41784,0.81889,0.71742,0.73175,0.70651,0.33762,1.62434,1.72378,1.0683,0.000491965,0.000491965,0.000491965
180,554.583,0.65003,0.43553,0.83874,0.73367,0.72488,0.69929,0.32528,1.65787,1.81303,1.08381,0.000485364,0.000485364,0.000485364
181,557.481,0.70971,0.44756,0.83816,0.7127,0.70952,0.68927,0.32262,1.64979,1.80204,1.07782,0.000478762,0.000478762,0.000478762
